transformer_id,month_offset,oil_quality_index,temperature_rise_c,load_factor
T1647,8,0.843,54.3,0.338
T1647,9,0.818,52.3,0.363
T1647,10,0.827,52.8,0.389
T1647,11,0.794,48.0,0.344
T1648,0,0.731,50.7,0.37
T1648,1,0.71,50.3,0.397
T1648,2,0.713,50.3,0.369
T1648,3,0.681,53.4,0.355
T1648,4,0.706,54.1,0.36
T1648,5,0.724,52.6,0.376
T1648,6,0.681,53.4,0.4
T1648,7,0.683,54.4,0.421
T1648,8,0.724,55.3,0.394
T1648,9,0.727,51.6,0.397
T1648,10,0.757,53.5,0.389
T1648,11,0.713,52.5,0.381
T1649,0,0.629,47.6,0.491
T1649,1,0.63,48.2,0.452
T1649,2,0.672,50.8,0.437
T1649,3,0.608,48.1,0.455
T1649,4,0.61,48.9,0.472
T1649,5,0.643,46.5,0.471
T1649,6,0.591,49.4,0.489
T1649,7,0.586,49.0,0.442
T1649,8,0.613,51.0,0.46
T1649,9,0.628,46.9,0.428
T1649,10,0.562,50.2,0.488
T1649,11,0.565,45.5,0.48
T1650,0,0.561,62.3,0.525
T1650,1,0.555,59.9,0.533
T1650,2,0.598,59.6,0.538
T1650,3,0.577,58.6,0.572
T1650,4,0.6,57.6,0.583
T1650,5,0.626,59.6,0.636
T1650,6,0.6,57.6,0.589
T1650,7,0.64,55.7,0.637
T1650,8,0.654,58.4,0.668
T1650,9,0.633,58.3,0.625
T1650,10,0.653,56.4,0.636
T1650,11,0.611,53.9,0.685
T1651,0,0.27,48.6,0.456
T1651,1,0.318,43.7,0.412
T1651,2,0.286,46.5,0.413
T1651,3,0.334,48.1,0.441
T1651,4,0.345,46.7,0.414
T1651,5,0.398,47.2,0.41
T1651,6,0.431,50.0,0.454
T1651,7,0.422,49.9,0.419
T1651,8,0.439,50.7,0.407
T1651,9,0.469,53.9,0.397
T1651,10,0.514,54.2,0.36
T1651,11,0.505,52.4,0.403
T1652,0,0.207,72.9,0.522
T1652,1,0.256,68.5,0.544
T1652,2,0.316,69.1,0.565
T1652,3,0.307,68.3,0.544
T1652,4,0.301,70.9,0.506
T1652,5,0.312,70.0,0.535
T1652,6,0.338,71.0,0.524
T1652,7,0.301,71.4,0.516
T1652,8,0.37,74.1,0.492
T1652,9,0.393,70.6,0.53
T1652,10,0.373,71.4,0.518
T1652,11,0.395,76.5,0.507
T1653,0,0.581,70.8,0.659
T1653,1,0.571,67.9,0.683
T1653,2,0.567,67.5,0.713
T1653,3,0.556,70.2,0.695
T1653,4,0.565,68.6,0.686
T1653,5,0.531,69.6,0.742
T1653,6,0.531,68.3,0.746
T1653,7,0.504,68.5,0.719
T1653,8,0.49,70.5,0.699
T1653,9,0.481,67.1,0.748
T1653,10,0.519,68.8,0.769
T1653,11,0.507,66.6,0.746
T1654,0,0.853,81.7,0.764
T1654,1,0.841,81.0,0.782
T1654,2,0.838,78.9,0.781
T1654,3,0.806,75.9,0.807
T1654,4,0.785,76.8,0.817
T1654,5,0.81,74.4,0.798
T1654,6,0.791,74.8,0.796
T1654,7,0.766,74.5,0.771
T1654,8,0.753,74.3,0.762
T1654,9,0.728,69.4,0.755
T1654,10,0.758,69.9,0.778
T1654,11,0.717,67.9,0.778
T1655,0,0.551,49.2,0.729
T1655,1,0.571,53.2,0.721
T1655,2,0.566,52.5,0.734
T1655,3,0.565,54.6,0.679
T1655,4,0.565,53.1,0.719
T1655,5,0.552,52.3,0.685
T1655,6,0.53,50.0,0.675
T1655,7,0.557,50.8,0.713
T1655,8,0.56,54.8,0.673
T1655,9,0.558,53.3,0.678
T1655,10,0.517,55.4,0.685
T1655,11,0.548,56.3,0.608
T1656,0,0.833,54.9,0.882
T1656,1,0.801,55.8,0.82
T1656,2,0.816,53.0,0.862
T1656,3,0.802,54.0,0.862
T1656,4,0.727,55.3,0.868
T1656,5,0.714,55.8,0.873
T1656,6,0.72,51.6,0.82
T1656,7,0.706,52.1,0.822
T1656,8,0.688,53.7,0.836
T1656,9,0.655,54.2,0.861
T1656,10,0.626,52.2,0.848
T1656,11,0.593,51.3,0.839
T1657,0,0.198,64.4,0.113
T1657,1,0.213,63.0,0.117
T1657,2,0.229,64.1,0.142
T1657,3,0.287,61.2,0.172
T1657,4,0.305,60.4,0.192
T1657,5,0.308,60.2,0.153
T1657,6,0.383,58.1,0.172
T1657,7,0.407,58.4,0.162
T1657,8,0.427,55.9,0.192
T1657,9,0.459,59.7,0.211
T1657,10,0.454,56.3,0.2
T1657,11,0.515,56.3,0.176
T1658,0,0.564,44.7,0.453
T1658,1,0.545,50.2,0.443
T1658,2,0.554,46.8,0.479
T1658,3,0.559,50.4,0.499
T1658,4,0.555,49.2,0.499
T1658,5,0.555,47.7,0.481
T1658,6,0.588,51.3,0.513
T1658,7,0.54,52.0,0.513
T1658,8,0.544,50.9,0.518
T1658,9,0.582,51.6,0.535
T1658,10,0.596,53.8,0.528
T1658,11,0.568,55.4,0.504
T1659,0,0.53,55.3,0.597
T1659,1,0.529,55.2,0.573
T1659,2,0.514,53.7,0.614
T1659,3,0.54,54.2,0.606
T1659,4,0.547,53.6,0.589
T1659,5,0.522,51.1,0.587
T1659,6,0.535,52.5,0.619
T1659,7,0.519,55.1,0.643
T1659,8,0.545,54.2,0.633
T1659,9,0.495,53.6,0.61
T1659,10,0.56,51.7,0.643
T1659,11,0.517,51.3,0.687
T1660,0,0.757,56.0,0.607
T1660,1,0.776,55.4,0.622
T1660,2,0.77,58.1,0.653
T1660,3,0.773,55.7,0.632
T1660,4,0.722,57.2,0.61
T1660,5,0.742,56.4,0.583
T1660,6,0.757,57.2,0.605
T1660,7,0.728,55.9,0.584
T1660,8,0.716,62.4,0.543
T1660,9,0.735,55.1,0.545
T1660,10,0.779,60.2,0.576
T1660,11,0.722,57.4,0.535
T1661,0,0.369,55.1,0.245
T1661,1,0.361,54.6,0.255
T1661,2,0.4,53.9,0.283
T1661,3,0.421,54.4,0.244
T1661,4,0.448,52.9,0.266
T1661,5,0.507,53.4,0.23
T1661,6,0.474,53.6,0.263
T1661,7,0.466,59.0,0.271
T1661,8,0.481,58.1,0.285
T1661,9,0.496,56.6,0.292
T1661,10,0.52,59.0,0.255
T1661,11,0.535,55.6,0.283
T1662,0,0.77,56.5,0.588
T1662,1,0.759,55.3,0.61
T1662,2,0.715,57.5,0.623
T1662,3,0.703,57.1,0.598
T1662,4,0.655,53.5,0.591
T1662,5,0.676,54.9,0.62
T1662,6,0.65,50.8,0.591
T1662,7,0.631,54.8,0.61
T1662,8,0.653,55.6,0.603
T1662,9,0.602,55.9,0.613
T1662,10,0.591,54.8,0.655
T1662,11,0.577,55.1,0.665
T1663,0,0.584,56.0,0.464
T1663,1,0.6,57.3,0.46
T1663,2,0.607,55.5,0.51
T1663,3,0.618,57.9,0.47
T1663,4,0.621,56.0,0.446
T1663,5,0.655,57.2,0.449
T1663,6,0.626,56.3,0.439
T1663,7,0.633,59.8,0.444
T1663,8,0.637,58.4,0.427
T1663,9,0.67,57.0,0.443
T1663,10,0.686,57.4,0.472
T1663,11,0.714,58.0,0.439
T1664,0,0.823,36.5,0.288
T1664,1,0.81,39.0,0.276
T1664,2,0.764,38.2,0.309
T1664,3,0.808,41.3,0.273
T1664,4,0.798,39.2,0.304
T1664,5,0.79,41.1,0.266
T1664,6,0.795,39.0,0.296
T1664,7,0.77,43.5,0.288
T1664,8,0.765,46.9,0.3
T1664,9,0.782,46.1,0.308
T1664,10,0.761,47.3,0.274
T1664,11,0.76,48.9,0.312
T1665,0,0.507,50.0,0.569
T1665,1,0.502,51.9,0.601
T1665,2,0.512,54.5,0.624
T1665,3,0.528,52.7,0.619
T1665,4,0.552,51.8,0.665
T1665,5,0.527,56.8,0.698
T1665,6,0.556,51.7,0.696
T1665,7,0.568,56.1,0.748
T1665,8,0.54,54.4,0.764
T1665,9,0.563,56.5,0.769
T1665,10,0.579,56.8,0.804
T1665,11,0.608,55.4,0.851
T1666,0,0.547,33.7,0.291
T1666,1,0.578,34.2,0.274
T1666,2,0.585,35.3,0.229
T1666,3,0.606,36.0,0.281
T1666,4,0.609,37.4,0.272
T1666,5,0.683,38.4,0.324
T1666,6,0.657,37.5,0.295
T1666,7,0.711,43.6,0.33
T1666,8,0.707,40.4,0.293
T1666,9,0.725,39.2,0.325
T1666,10,0.691,40.9,0.346
T1666,11,0.762,45.1,0.325
T1667,0,0.572,44.8,0.31
T1667,1,0.583,45.6,0.308
T1667,2,0.577,41.9,0.35
T1667,3,0.593,44.9,0.341
T1667,4,0.607,42.4,0.333
T1667,5,0.626,40.9,0.389
T1667,6,0.605,44.3,0.391
T1667,7,0.654,40.0,0.399
T1667,8,0.697,40.6,0.427
T1667,9,0.647,43.0,0.393
T1667,10,0.637,42.4,0.42
T1667,11,0.7,42.4,0.44
T1668,0,0.767,54.6,0.634
T1668,1,0.784,55.1,0.666
T1668,2,0.757,52.2,0.592
T1668,3,0.717,52.5,0.615
T1668,4,0.734,50.9,0.612
T1668,5,0.723,50.8,0.577
T1668,6,0.699,46.0,0.597
T1668,7,0.69,48.3,0.589
T1668,8,0.694,47.1,0.551
T1668,9,0.699,46.9,0.537
T1668,10,0.676,45.6,0.561
T1668,11,0.647,44.5,0.566
T1669,0,0.496,95.0,0.465
T1669,1,0.589,93.8,0.419
T1669,2,0.58,90.8,0.455
T1669,3,0.537,88.9,0.439
T1669,4,0.573,90.1,0.516
T1669,5,0.584,83.4,0.483
T1669,6,0.571,84.9,0.54
T1669,7,0.561,83.6,0.518
T1669,8,0.587,77.9,0.54
T1669,9,0.597,78.1,0.569
T1669,10,0.615,74.3,0.545
T1669,11,0.583,74.5,0.561
T1670,0,0.26,72.7,0.993
T1670,1,0.289,71.9,0.983
T1670,2,0.283,70.6,0.995
T1670,3,0.283,74.1,0.955
T1670,4,0.317,68.0,0.931
T1670,5,0.344,68.3,1.0
T1670,6,0.337,69.4,0.917
T1670,7,0.394,68.9,0.934
T1670,8,0.371,68.1,0.893
T1670,9,0.409,67.3,0.843
T1670,10,0.412,68.2,0.903
T1670,11,0.457,64.6,0.855
T1671,0,1.0,39.2,0.306
T1671,1,0.999,35.6,0.35
T1671,2,0.974,37.3,0.313
T1671,3,0.967,36.1,0.37
T1671,4,0.932,41.3,0.417
T1671,5,0.938,38.1,0.377
T1671,6,0.905,42.0,0.371
T1671,7,0.907,41.4,0.383
T1671,8,0.902,44.2,0.382
T1671,9,0.846,40.2,0.436
T1671,10,0.862,40.3,0.432
T1671,11,0.845,44.3,0.484
T1672,0,0.643,58.8,0.478
T1672,1,0.677,56.5,0.459
T1672,2,0.68,60.5,0.498
T1672,3,0.675,60.2,0.48
T1672,4,0.688,58.1,0.474
T1672,5,0.674,54.4,0.513
T1672,6,0.713,55.1,0.538
T1672,7,0.7,53.4,0.487
T1672,8,0.651,53.5,0.516
T1672,9,0.646,52.6,0.552
T1672,10,0.696,51.7,0.503
T1672,11,0.703,51.6,0.555
T1673,0,0.49,40.6,0.426
T1673,1,0.545,44.1,0.446
T1673,2,0.523,41.6,0.413
T1673,3,0.529,42.5,0.451
T1673,4,0.579,43.2,0.434
T1673,5,0.578,49.1,0.479
T1673,6,0.576,47.8,0.446
T1673,7,0.669,51.3,0.456
T1673,8,0.631,51.6,0.423
T1673,9,0.656,54.8,0.46
T1673,10,0.646,57.4,0.471
T1673,11,0.654,57.4,0.479
T1674,0,0.809,59.9,0.941
T1674,1,0.804,61.2,0.898
T1674,2,0.78,60.9,0.869
T1674,3,0.763,60.1,0.84
T1674,4,0.776,60.5,0.854
T1674,5,0.766,60.9,0.817
T1674,6,0.734,62.3,0.787
T1674,7,0.724,61.3,0.781
T1674,8,0.711,61.7,0.74
T1674,9,0.639,60.1,0.756
T1674,10,0.65,62.0,0.681
T1674,11,0.634,61.2,0.683
T1675,0,0.621,66.3,0.655
T1675,1,0.596,66.8,0.673
T1675,2,0.626,67.3,0.683
T1675,3,0.637,68.3,0.67
T1675,4,0.648,65.6,0.653
T1675,5,0.632,67.7,0.656
T1675,6,0.616,67.1,0.613
T1675,7,0.604,64.2,0.631
T1675,8,0.602,72.0,0.672
T1675,9,0.61,67.8,0.619
T1675,10,0.613,70.1,0.63
T1675,11,0.628,66.9,0.691
T1676,0,0.592,67.2,0.633
T1676,1,0.58,63.7,0.617
T1676,2,0.596,64.2,0.597
T1676,3,0.663,62.3,0.564
T1676,4,0.641,61.4,0.502
T1676,5,0.678,57.7,0.514
T1676,6,0.685,57.8,0.514
T1676,7,0.735,54.2,0.491
T1676,8,0.747,56.7,0.469
T1676,9,0.764,50.7,0.44
T1676,10,0.795,50.6,0.422
T1676,11,0.769,52.8,0.392
T1677,0,0.513,63.9,0.704
T1677,1,0.558,63.5,0.75
T1677,2,0.578,60.0,0.734
T1677,3,0.628,62.6,0.739
T1677,4,0.67,64.3,0.676
T1677,5,0.661,62.7,0.69
T1677,6,0.714,63.3,0.689
T1677,7,0.724,65.5,0.669
T1677,8,0.718,64.0,0.652
T1677,9,0.756,63.0,0.641
T1677,10,0.826,66.8,0.623
T1677,11,0.829,64.1,0.584
T1678,0,0.433,60.3,0.733
T1678,1,0.428,61.7,0.685
T1678,2,0.431,63.8,0.712
T1678,3,0.46,64.6,0.747
T1678,4,0.495,64.6,0.753
T1678,5,0.472,68.2,0.708
T1678,6,0.528,68.2,0.789
T1678,7,0.529,66.0,0.758
T1678,8,0.535,65.0,0.81
T1678,9,0.589,70.5,0.788
T1678,10,0.599,70.0,0.78
T1678,11,0.596,70.6,0.762
T1679,0,0.521,41.7,0.799
T1679,1,0.504,42.8,0.803
T1679,2,0.514,43.2,0.783
T1679,3,0.467,45.0,0.706
T1679,4,0.487,41.9,0.688
T1679,5,0.465,41.4,0.7
T1679,6,0.52,47.1,0.66
T1679,7,0.461,44.9,0.663
T1679,8,0.461,40.8,0.601
T1679,9,0.528,45.0,0.615
T1679,10,0.511,44.6,0.589
T1679,11,0.492,41.9,0.529
T1680,0,0.74,61.0,0.313
T1680,1,0.723,59.7,0.302
T1680,2,0.708,60.3,0.282
T1680,3,0.734,55.3,0.25
T1680,4,0.712,57.6,0.26
T1680,5,0.737,53.6,0.267
T1680,6,0.736,55.8,0.23
T1680,7,0.723,53.3,0.231
T1680,8,0.728,51.9,0.198
T1680,9,0.737,49.4,0.18
T1680,10,0.736,48.9,0.159
T1680,11,0.753,48.0,0.161
T1681,0,0.477,65.8,0.506
T1681,1,0.469,63.0,0.526
T1681,2,0.469,63.0,0.498
T1681,3,0.484,65.4,0.525
T1681,4,0.464,61.2,0.559
T1681,5,0.503,63.1,0.545
T1681,6,0.494,62.6,0.558
T1681,7,0.492,61.5,0.592
T1681,8,0.449,60.8,0.557
T1681,9,0.472,59.6,0.595
T1681,10,0.501,59.1,0.612
T1681,11,0.477,59.8,0.642
T1682,0,0.764,58.2,0.647
T1682,1,0.748,58.0,0.678
T1682,2,0.758,56.0,0.661
T1682,3,0.78,57.7,0.658
T1682,4,0.774,53.8,0.654
T1682,5,0.761,54.9,0.635
T1682,6,0.796,53.2,0.638
T1682,7,0.811,50.1,0.63
T1682,8,0.816,50.0,0.615
T1682,9,0.818,47.9,0.613
T1682,10,0.812,49.7,0.652
T1682,11,0.878,47.6,0.643
T1683,0,0.678,55.5,0.561
T1683,1,0.621,52.5,0.576
T1683,2,0.616,54.6,0.619
T1683,3,0.618,56.2,0.604
T1683,4,0.648,54.0,0.618
T1683,5,0.601,55.7,0.661
T1683,6,0.571,55.4,0.63
T1683,7,0.61,55.7,0.658
T1683,8,0.571,59.1,0.653
T1683,9,0.576,55.8,0.651
T1683,10,0.552,58.0,0.638
T1683,11,0.534,56.2,0.698
T1684,0,0.479,62.2,0.771
T1684,1,0.448,63.4,0.773
T1684,2,0.447,64.5,0.785
T1684,3,0.469,63.7,0.755
T1684,4,0.447,63.1,0.755
T1684,5,0.413,60.3,0.734
T1684,6,0.466,64.8,0.728
T1684,7,0.417,61.8,0.775
T1684,8,0.431,64.6,0.772
T1684,9,0.445,62.9,0.726
T1684,10,0.471,62.8,0.737
T1684,11,0.45,63.0,0.763
T1685,0,0.78,67.6,0.784
T1685,1,0.738,68.8,0.789
T1685,2,0.733,66.8,0.784
T1685,3,0.668,65.8,0.765
T1685,4,0.685,69.0,0.752
T1685,5,0.684,69.7,0.705
T1685,6,0.653,67.9,0.706
T1685,7,0.603,67.1,0.716
T1685,8,0.568,66.4,0.686
T1685,9,0.586,67.3,0.673
T1685,10,0.579,69.0,0.687
T1685,11,0.559,69.7,0.657
T1686,0,0.466,60.1,0.658
T1686,1,0.496,57.9,0.614
T1686,2,0.505,60.9,0.623
T1686,3,0.515,59.2,0.629
T1686,4,0.52,60.0,0.622
T1686,5,0.486,60.4,0.6
T1686,6,0.54,59.6,0.56
T1686,7,0.544,54.7,0.599
T1686,8,0.551,55.7,0.581
T1686,9,0.529,54.4,0.619
T1686,10,0.55,54.2,0.552
T1686,11,0.518,56.4,0.606
T1687,0,0.793,53.9,0.427
T1687,1,0.794,54.5,0.449
T1687,2,0.786,55.0,0.407
T1687,3,0.76,54.5,0.387
T1687,4,0.756,52.2,0.398
T1687,5,0.751,48.5,0.354
T1687,6,0.761,49.3,0.36
T1687,7,0.746,46.6,0.375
T1687,8,0.74,47.5,0.354
T1687,9,0.79,46.1,0.353
T1687,10,0.741,46.2,0.353
T1687,11,0.745,46.0,0.325
T1688,0,0.388,52.6,0.144
T1688,1,0.387,52.9,0.187
T1688,2,0.407,55.0,0.252
T1688,3,0.414,50.6,0.239
T1688,4,0.378,53.6,0.271
T1688,5,0.367,50.8,0.256
T1688,6,0.331,52.6,0.274
T1688,7,0.349,51.2,0.296
T1688,8,0.306,44.5,0.348
T1688,9,0.304,45.4,0.322
T1688,10,0.309,45.7,0.333
T1688,11,0.254,48.4,0.342
T1689,0,0.622,71.9,0.485
T1689,1,0.601,72.3,0.447
T1689,2,0.572,70.4,0.485
T1689,3,0.567,67.9,0.493
T1689,4,0.611,68.0,0.465
T1689,5,0.591,66.5,0.506
T1689,6,0.629,66.1,0.493
T1689,7,0.591,64.6,0.496
T1689,8,0.567,65.6,0.47
T1689,9,0.578,61.3,0.523
T1689,10,0.627,62.7,0.512
T1689,11,0.592,62.1,0.521
T1690,0,0.285,49.2,0.235
T1690,1,0.303,46.2,0.237
T1690,2,0.35,45.5,0.192
T1690,3,0.363,46.0,0.205
T1690,4,0.371,49.2,0.219
T1690,5,0.386,47.0,0.182
T1690,6,0.407,47.8,0.193
T1690,7,0.455,47.8,0.243
T1690,8,0.47,47.8,0.179
T1690,9,0.486,47.6,0.212
T1690,10,0.545,47.4,0.221
T1690,11,0.541,48.5,0.242
T1691,0,0.954,53.9,0.697
T1691,1,0.895,50.9,0.676
T1691,2,0.859,55.3,0.665
T1691,3,0.887,55.5,0.704
T1691,4,0.882,52.0,0.714
T1691,5,0.869,54.7,0.703
T1691,6,0.875,55.8,0.734
T1691,7,0.859,57.3,0.748
T1691,8,0.875,52.9,0.709
T1691,9,0.867,54.8,0.765
T1691,10,0.831,53.2,0.733
T1691,11,0.831,53.4,0.777
T1692,0,0.475,70.7,0.391
T1692,1,0.489,72.7,0.438
T1692,2,0.423,73.0,0.398
T1692,3,0.442,69.4,0.389
T1692,4,0.428,73.5,0.379
T1692,5,0.428,74.5,0.377
T1692,6,0.358,71.6,0.377
T1692,7,0.361,73.0,0.35
T1692,8,0.343,70.2,0.362
T1692,9,0.354,72.8,0.368
T1692,10,0.329,72.0,0.338
T1692,11,0.359,73.0,0.383
T1693,0,1.0,32.1,0.3
T1693,1,1.0,37.3,0.289
T1693,2,0.925,36.5,0.284
T1693,3,0.957,36.4,0.26
T1693,4,0.906,38.9,0.259
T1693,5,0.916,37.5,0.234
T1693,6,0.897,36.2,0.227
T1693,7,0.83,40.3,0.224
T1693,8,0.819,39.7,0.184
T1693,9,0.842,39.9,0.162
T1693,10,0.824,42.2,0.2
T1693,11,0.786,42.6,0.148
T1694,0,0.437,49.3,0.663
T1694,1,0.465,50.2,0.706
T1694,2,0.466,50.6,0.671
T1694,3,0.481,51.6,0.681
T1694,4,0.511,50.8,0.731
T1694,5,0.547,53.0,0.748
T1694,6,0.562,51.3,0.729
T1694,7,0.531,54.7,0.698
T1694,8,0.57,53.1,0.738
T1694,9,0.599,53.4,0.757
T1694,10,0.636,52.4,0.768
T1694,11,0.639,54.0,0.76
T1695,0,0.425,46.3,0.383
T1695,1,0.426,46.5,0.359
T1695,2,0.456,45.4,0.369
T1695,3,0.428,52.0,0.365
T1695,4,0.468,47.3,0.347
T1695,5,0.447,53.2,0.344
T1695,6,0.402,51.1,0.342
T1695,7,0.424,52.9,0.37
T1695,8,0.439,54.5,0.319
T1695,9,0.408,56.9,0.346
T1695,10,0.45,54.1,0.29
T1695,11,0.502,56.8,0.301
T1696,0,0.424,27.6,0.492
T1696,1,0.455,29.4,0.501
T1696,2,0.497,30.1,0.504
T1696,3,0.527,29.5,0.486
T1696,4,0.57,30.6,0.48
T1696,5,0.564,32.3,0.441
T1696,6,0.614,29.5,0.475
T1696,7,0.657,34.3,0.436
T1696,8,0.709,35.4,0.437
T1696,9,0.694,37.8,0.397
T1696,10,0.726,40.1,0.392
T1696,11,0.762,35.3,0.419
T1697,0,0.713,76.2,0.776
T1697,1,0.725,75.6,0.77
T1697,2,0.739,74.4,0.734
T1697,3,0.741,76.0,0.763
T1697,4,0.714,73.3,0.787
T1697,5,0.692,74.2,0.755
T1697,6,0.733,71.9,0.773
T1697,7,0.652,70.6,0.742
T1697,8,0.669,72.6,0.742
T1697,9,0.639,69.2,0.783
T1697,10,0.662,72.4,0.721
T1697,11,0.629,67.1,0.744
T1698,0,0.588,61.9,0.922
T1698,1,0.579,65.1,0.938
T1698,2,0.531,63.1,0.873
T1698,3,0.553,63.1,0.872
T1698,4,0.528,65.7,0.859
T1698,5,0.549,61.9,0.833
T1698,6,0.572,60.7,0.849
T1698,7,0.563,64.2,0.826
T1698,8,0.548,63.4,0.794
T1698,9,0.516,62.7,0.805
T1698,10,0.535,63.4,0.839
T1698,11,0.531,61.8,0.779
T1699,0,0.875,50.7,0.687
T1699,1,0.788,51.7,0.688
T1699,2,0.848,51.0,0.703
T1699,3,0.841,54.0,0.68
T1699,4,0.815,53.8,0.665
T1699,5,0.801,53.8,0.686
T1699,6,0.837,55.0,0.664
T1699,7,0.816,52.2,0.665
T1699,8,0.882,51.5,0.667
T1699,9,0.855,53.4,0.653
T1699,10,0.82,55.2,0.664
T1699,11,0.82,53.2,0.665
T1700,0,0.539,77.8,0.687
T1700,1,0.521,79.2,0.668
T1700,2,0.538,78.4,0.685
T1700,3,0.459,73.3,0.68
T1700,4,0.501,77.0,0.64
T1700,5,0.498,74.8,0.616
T1700,6,0.492,71.2,0.649
T1700,7,0.502,73.1,0.612
T1700,8,0.475,70.5,0.613
T1700,9,0.45,70.0,0.616
T1700,10,0.451,70.4,0.6
T1700,11,0.422,73.0,0.526
T1701,0,0.448,44.7,0.213
T1701,1,0.459,44.9,0.288
T1701,2,0.488,43.3,0.28
T1701,3,0.482,48.4,0.287
T1701,4,0.502,44.9,0.28
T1701,5,0.531,45.2,0.268
T1701,6,0.479,45.1,0.278
T1701,7,0.526,44.9,0.325
T1701,8,0.546,47.1,0.279
T1701,9,0.544,44.3,0.282
T1701,10,0.579,44.3,0.29
T1701,11,0.574,44.9,0.291
T1702,0,0.644,37.8,0.735
T1702,1,0.624,39.9,0.713
T1702,2,0.621,41.7,0.771
T1702,3,0.59,43.2,0.777
T1702,4,0.56,44.2,0.77
T1702,5,0.578,42.7,0.808
T1702,6,0.611,47.1,0.79
T1702,7,0.61,45.9,0.779
T1702,8,0.586,48.2,0.821
T1702,9,0.649,50.5,0.803
T1702,10,0.578,50.2,0.802
T1702,11,0.559,50.5,0.789
T1703,0,0.942,55.2,0.336
T1703,1,0.929,53.2,0.386
T1703,2,0.869,53.0,0.372
T1703,3,0.826,53.5,0.369
T1703,4,0.824,48.6,0.355
T1703,5,0.765,50.4,0.398
T1703,6,0.744,49.9,0.39
T1703,7,0.722,49.5,0.362
T1703,8,0.689,49.3,0.376
T1703,9,0.642,43.8,0.376
T1703,10,0.643,43.6,0.411
T1703,11,0.622,43.2,0.388
T1704,0,0.515,65.2,0.618
T1704,1,0.502,65.1,0.624
T1704,2,0.545,64.8,0.607
T1704,3,0.545,66.5,0.61
T1704,4,0.572,67.1,0.601
T1704,5,0.602,64.3,0.627
T1704,6,0.63,60.5,0.646
T1704,7,0.603,62.6,0.603
T1704,8,0.607,64.3,0.633
T1704,9,0.608,62.8,0.653
T1704,10,0.63,60.2,0.656
T1704,11,0.648,63.1,0.681
T1705,0,0.626,35.6,0.619
T1705,1,0.661,37.1,0.624
T1705,2,0.646,40.5,0.656
T1705,3,0.636,39.1,0.648
T1705,4,0.635,42.3,0.618
T1705,5,0.67,44.2,0.602
T1705,6,0.656,46.0,0.597
T1705,7,0.643,43.6,0.609
T1705,8,0.668,49.1,0.628
T1705,9,0.701,50.4,0.59
T1705,10,0.663,50.9,0.622
T1705,11,0.72,52.0,0.63
T1706,0,0.775,42.6,0.698
T1706,1,0.732,39.1,0.709
T1706,2,0.766,39.1,0.69
T1706,3,0.77,40.3,0.665
T1706,4,0.757,41.1,0.657
T1706,5,0.692,40.8,0.639
T1706,6,0.756,44.9,0.601
T1706,7,0.753,44.8,0.632
T1706,8,0.728,45.7,0.581
T1706,9,0.732,47.6,0.618
T1706,10,0.715,47.5,0.589
T1706,11,0.734,46.2,0.591
T1707,0,0.903,37.1,0.609
T1707,1,0.895,33.3,0.564
T1707,2,0.88,35.1,0.629
T1707,3,0.874,35.4,0.562
T1707,4,0.819,38.1,0.567
T1707,5,0.829,41.9,0.57
T1707,6,0.802,40.0,0.521
T1707,7,0.813,40.5,0.527
T1707,8,0.744,40.4,0.569
T1707,9,0.753,40.4,0.541
T1707,10,0.775,42.6,0.517
T1707,11,0.734,44.1,0.511
T1708,0,0.568,67.1,0.28
T1708,1,0.546,65.4,0.237
T1708,2,0.526,64.6,0.227
T1708,3,0.568,59.9,0.241
T1708,4,0.555,62.9,0.244
T1708,5,0.579,61.6,0.247
T1708,6,0.515,59.9,0.239
T1708,7,0.59,58.8,0.272
T1708,8,0.547,56.5,0.215
T1708,9,0.517,55.4,0.248
T1708,10,0.498,54.1,0.228
T1708,11,0.521,53.5,0.207
T1709,0,0.377,60.9,0.305
T1709,1,0.423,61.8,0.32
T1709,2,0.43,57.9,0.296
T1709,3,0.413,64.2,0.311
T1709,4,0.476,61.2,0.28
T1709,5,0.459,60.0,0.275
T1709,6,0.451,61.7,0.236
T1709,7,0.479,58.8,0.245
T1709,8,0.478,57.3,0.225
T1709,9,0.411,57.4,0.19
T1709,10,0.465,57.0,0.193
T1709,11,0.501,56.2,0.213
T1710,0,0.48,67.5,0.736
T1710,1,0.451,67.3,0.756
T1710,2,0.49,68.5,0.755
T1710,3,0.518,68.6,0.79
T1710,4,0.453,69.6,0.787
T1710,5,0.54,64.6,0.784
T1710,6,0.598,70.7,0.769
T1710,7,0.525,70.1,0.789
T1710,8,0.584,69.8,0.768
T1710,9,0.56,71.2,0.824
T1710,10,0.578,71.7,0.779
T1710,11,0.616,71.9,0.815
T1711,0,0.522,48.2,0.18
T1711,1,0.506,46.8,0.241
T1711,2,0.548,46.3,0.251
T1711,3,0.566,46.5,0.246
T1711,4,0.583,48.5,0.26
T1711,5,0.605,49.1,0.325
T1711,6,0.601,46.1,0.258
T1711,7,0.6,42.4,0.298
T1711,8,0.667,45.1,0.303
T1711,9,0.665,44.5,0.281
T1711,10,0.697,43.3,0.285
T1711,11,0.645,45.3,0.307
T1712,0,0.498,61.4,0.498
T1712,1,0.466,60.7,0.542
T1712,2,0.442,60.3,0.543
